timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload_inertia_0,payload_inertia_1,payload_inertia_2,payload_inertia_3,payload_inertia_4,payload_inertia_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
6083.069,-0.312576,-0.901973,2.094754,3.654538,1.562749,-0.092855,0,0,0,0,0,0,0,0,0,0,0,0,-0.008495,-4.195117,-1.247564,-0.458261,0.048703,0.026757,0.11819,-41.582774,-12.340239,-3.552004,0.347011,0.163214,-0.312632,-0.901949,2.094802,3.654546,1.562773,-0.092856,0,0,0,0,0,0,-0.000331,-4.183093,-1.225121,-0.445147,0.048009,0.022474,-0.008495,-4.195117,-1.247564,-0.458261,0.048703,0.026757,-0.535949,0.031124,0.216422,0.108636,-0.117591,-1.965122,0,0,0,0,0,0,3.056185,2.725216,-4.005328,-0.155957,0.21154,0.424157,-0.535962,0.031095,0.216448,0.108601,-0.117495,-1.965069,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.786612,7,253,253,253,253,253,253,1,-0.248997,1.206678,9.481039,0,1,0.125909,47.733456,47.804207,0.873937,47.685261,47.58493,47.599262,47.613598,47.685261,47.58493,0,1,0.110025,0.348455,0.004,0.004,5,1,44.542465,-8238.504333,28614.86475,-201.525463,18.846435,-235.36291,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.071,-0.312632,-0.901949,2.094802,3.654546,1.562773,-0.092856,0,0,0,0,0,0,0,0,0,0,0,0,0.01654,-4.252098,-1.267002,-0.462919,0.044682,0.021093,0.118796,-41.582044,-12.338628,-3.551996,0.345495,0.163659,-0.312592,-0.901948,2.094806,3.654582,1.562782,-0.092847,0,0,0,0,0,0,0.042938,-4.220723,-1.265418,-0.459258,0.041437,0.021815,0.01654,-4.252098,-1.267002,-0.462919,0.044682,0.021093,-0.535952,0.031104,0.216416,0.108659,-0.117632,-1.965073,0,0,0,0,0,0,2.839673,2.547086,-4.050753,-0.157768,0.216148,0.425404,-0.535949,0.031124,0.216422,0.108636,-0.117591,-1.965122,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.783432,7,253,253,253,253,253,253,1,-0.248997,1.11091,9.519346,0,1,0.171906,47.767487,47.842716,0.885126,47.785591,47.570599,47.656593,47.613598,47.685261,47.599262,0,1,0.108011,0.346189,0.004,0.004,5,1,44.791251,-8238.640136,28614.84252,-201.529019,18.843194,-235.361282,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.073,-0.312592,-0.901948,2.094806,3.654582,1.562782,-0.092847,0,0,0,0,0,0,0,0,0,0,0,0,-0.007815,-4.207226,-1.254336,-0.462813,0.036818,0.019638,0.119467,-41.581898,-12.338457,-3.551925,0.344328,0.164196,-0.312584,-0.902005,2.094754,3.654566,1.562709,-0.092827,0,0,0,0,0,0,-0.025381,-4.182142,-1.257589,-0.457933,0.029737,0.014965,-0.007815,-4.207226,-1.254336,-0.462813,0.036818,0.019638,-0.535964,0.031096,0.216461,0.108633,-0.117463,-1.965046,0,0,0,0,0,0,3.086784,2.74331,-4.025922,-0.151717,0.209229,0.423516,-0.535952,0.031104,0.216416,0.108659,-0.117632,-1.965073,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.78378,7,253,253,253,253,253,253,1,-0.21069,1.11091,9.404425,0,1,0.092067,47.765697,47.840923,0.844844,47.756924,47.599262,47.62793,47.570599,47.685261,47.613598,0,1,0.11078,0.34493,0.004,0.004,5,1,44.515608,-8238.48404,28614.84062,-201.525061,18.851121,-235.364199,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.075,-0.312584,-0.902005,2.094754,3.654566,1.562709,-0.092827,0,0,0,0,0,0,0,0,0,0,0,0,0.010725,-4.224083,-1.225248,-0.459592,0.049944,0.022613,0.120019,-41.581708,-12.340367,-3.551418,0.342836,0.16448,-0.312572,-0.901941,2.094777,3.654595,1.562773,-0.092912,0,0,0,0,0,0,-0.008126,-4.244531,-1.270056,-0.465889,0.05317,0.022563,0.010725,-4.224083,-1.225248,-0.459592,0.049944,0.022613,-0.535962,0.031095,0.216418,0.108667,-0.117614,-1.965118,0,0,0,0,0,0,2.994393,2.605058,-4.027467,-0.153971,0.205217,0.42524,-0.535964,0.031096,0.216461,0.108633,-0.117463,-1.965046,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.786372,7,253,253,253,253,253,253,1,-0.21069,0.938527,9.32781,0,1,0.187807,47.737038,47.780025,0.826942,47.72826,47.599262,47.62793,47.498932,47.656593,47.570599,0,1,0.109773,0.335363,0.004,0.004,5,1,44.677825,-8238.518027,28614.84709,-201.520404,18.850851,-235.362296,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.077,-0.312572,-0.901941,2.094777,3.654595,1.562773,-0.092912,0,0,0,0,0,0,0,0,0,0,0,0,0.001447,-4.248534,-1.26231,-0.46127,0.039697,0.024594,0.120592,-41.58224,-12.338517,-3.55152,0.341063,0.164884,-0.31262,-0.901936,2.09481,3.654558,1.562721,-0.092835,0,0,0,0,0,0,0.054878,-4.212931,-1.252231,-0.451648,0.042754,0.018935,0.001447,-4.248534,-1.26231,-0.46127,0.039697,0.024594,-0.53595,0.031112,0.216412,0.108707,-0.117582,-1.965085,0,0,0,0,0,0,3.029269,2.603137,-4.068806,-0.155341,0.207571,0.422841,-0.535962,0.031095,0.216418,0.108667,-0.117614,-1.965118,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.778104,7,253,253,253,253,253,253,1,-0.191536,1.091756,9.442732,0,1,0.177368,47.767487,47.819435,0.815752,47.699593,47.599262,47.613598,47.556267,47.642262,47.541931,0,1,0.110025,0.343168,0.004,0.004,5,1,44.667906,-8238.49079,28614.80134,-201.522023,18.848406,-235.364425,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.079,-0.31262,-0.901936,2.09481,3.654558,1.562721,-0.092835,0,0,0,0,0,0,0,0,0,0,0,0,0.015652,-4.164149,-1.266356,-0.464941,0.045806,0.023168,0.120988,-41.58137,-12.337495,-3.551317,0.339863,0.165102,-0.312596,-0.901921,2.094746,3.654582,1.562766,-0.092831,0,0,0,0,0,0,0.051118,-4.170241,-1.272084,-0.469825,0.060869,0.046496,0.015652,-4.164149,-1.266356,-0.464941,0.045806,0.023168,-0.535969,0.03111,0.216418,0.108649,-0.117591,-1.965061,0,0,0,0,0,0,2.85195,2.55002,-4.164895,-0.153918,0.210675,0.431154,-0.53595,0.031112,0.216412,0.108707,-0.117582,-1.965085,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.783841,7,253,253,253,253,253,253,1,-0.153229,1.16837,9.500193,0,1,0.110006,47.74062,47.794357,0.817988,47.72826,47.570599,47.62793,47.570599,47.670929,47.58493,0,1,0.108767,0.341405,0.004,0.004,5,1,44.786494,-8238.644566,28614.72783,-201.525613,18.849579,-235.356272,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.081,-0.312596,-0.901921,2.094746,3.654582,1.562766,-0.092831,0,0,0,0,0,0,0,0,0,0,0,0,0.01438,-4.241126,-1.267275,-0.461589,0.045361,0.022525,0.121982,-41.582806,-12.338346,-3.551094,0.338372,0.165913,-0.312576,-0.901973,2.094781,3.654566,1.562761,-0.092819,0,0,0,0,0,0,-0.025009,-4.2349,-1.244982,-0.46308,0.059475,0.01967,0.01438,-4.241126,-1.267275,-0.461589,0.045361,0.022525,-0.535957,0.031095,0.216437,0.108628,-0.117557,-1.965031,0,0,0,0,0,0,2.901045,2.713403,-4.095858,-0.150775,0.206851,0.428178,-0.535969,0.03111,0.216418,0.108649,-0.117591,-1.965061,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.783241,7,253,253,253,253,253,253,1,-0.191536,1.149217,9.500193,0,1,0.087465,47.735249,47.807789,0.862747,47.756924,47.58493,47.613598,47.570599,47.642262,47.541931,0,1,0.110277,0.345685,0.004,0.004,5,1,44.61543,-8238.652693,28614.79496,-201.523266,18.853515,-235.359762,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.083,-0.312576,-0.901973,2.094781,3.654566,1.562761,-0.092819,0,0,0,0,0,0,0,0,0,0,0,0,0.011746,-4.21358,-1.258395,-0.459927,0.042475,0.017263,0.122705,-41.580981,-12.338447,-3.550823,0.336775,0.166415,-0.312592,-0.901961,2.09481,3.654546,1.562749,-0.092843,0,0,0,0,0,0,-0.00164,-4.25643,-1.252083,-0.45563,0.041405,0.02144,0.011746,-4.21358,-1.258395,-0.459927,0.042475,0.017263,-0.535948,0.031099,0.216426,0.108656,-0.117567,-1.965069,0,0,0,0,0,0,2.959178,2.642206,-4.173926,-0.152406,0.205905,0.433627,-0.535957,0.031095,0.216437,0.108628,-0.117557,-1.965031,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.787117,7,253,253,253,253,253,253,1,-0.248997,1.130063,9.5385,0,1,0.142833,47.763905,47.828388,0.804562,47.771255,47.599262,47.642262,47.613598,47.670929,47.62793,0,1,0.109773,0.349462,0.004,0.004,5,1,44.660613,-8238.583122,28614.70769,-201.521866,18.853132,-235.354177,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.085,-0.312592,-0.901961,2.09481,3.654546,1.562749,-0.092843,0,0,0,0,0,0,0,0,0,0,0,0,0.024608,-4.229151,-1.253255,-0.46362,0.039678,0.019614,0.123779,-41.580385,-12.337401,-3.550691,0.335299,0.167302,-0.312536,-0.901973,2.09479,3.654566,1.56277,-0.09286,0,0,0,0,0,0,0.004752,-4.278416,-1.277881,-0.470841,0.034954,0.02066,0.024608,-4.229151,-1.253255,-0.46362,0.039678,0.019614,-0.535956,0.031073,0.216435,0.108632,-0.117566,-1.965031,0,0,0,0,0,0,3.095976,2.680392,-4.139617,-0.147322,0.207071,0.435505,-0.535948,0.031099,0.216426,0.108656,-0.117567,-1.965069,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.785148,7,253,253,253,253,253,253,1,-0.229843,1.11091,9.308656,0,1,0.067134,47.771072,47.848091,0.856034,47.814255,47.599262,47.642262,47.613598,47.685261,47.599262,0,1,0.106752,0.340902,0.004,0.004,5,1,44.57155,-8238.467983,28614.72498,-201.524951,18.857562,-235.352947,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083.087,-0.312536,-0.901973,2.09479,3.654566,1.56277,-0.09286,0,0,0,0,0,0,0,0,0,0,0,0,0.020847,-4.174456,-1.252048,-0.457227,0.042551,0.02164,0.12494,-41.580432,-12.337898,-3.550464,0.33347,0.16823,-0.312605,-0.901965,2.094754,3.654558,1.56277,-0.09288,0,0,0,0,0,0,0.002236,-4.222467,-1.251933,-0.456712,0.034963,0.024299,0.020847,-4.174456,-1.252048,-0.457227,0.042551,0.02164,-0.535963,0.031113,0.216441,0.108604,-0.117537,-1.965122,0,0,0,0,0,0,3.287044,2.695513,-4.143534,-0.145802,0.199378,0.435171,-0.535956,0.031073,0.216435,0.108632,-0.117566,-1.965031,0,0,0,0,0,0,0,29.5,31.875,29.5,33.625,35.9375,36.5,0.799992,7,253,253,253,253,253,253,1,-0.191536,1.244985,9.461885,0,1,0.13687,47.778233,47.857941,0.871701,47.799923,47.599262,47.642262,47.599262,47.670929,47.613598,0,1,0.101968,0.346189,0.004,0.004,5,1,44.483771,-8238.299437,28614.69652,-201.518443,18.861841,-235.353726,0.002665,0.002665,0.002665,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
